Date,return,port_value,cash,n_held,year,config,side,schema,window
2022-05-05,-0.012599668081010002,977236.2653890059,7741.8548424714245,5,2022,Q75,long,26f,0
2022-05-06,-0.07547575772763873,903478.6177798428,8161.062315615913,5,2022,Q75,long,26f,0
2022-05-09,-0.08198306014902826,829408.675915037,8161.062315615913,5,2022,Q75,long,26f,0
2022-05-10,0.05752092004009382,877117.026042906,8161.062315615913,5,2022,Q75,long,26f,0
2022-05-11,0.024928769468868156,898982.4741823488,8161.062315615913,5,2022,Q75,long,26f,0
2022-05-12,-0.07742311049459881,829380.454751021,8161.062315615913,5,2022,Q75,long,26f,0
2022-05-13,-0.06085536723149363,778908.2026025244,7156.749845523449,5,2022,Q75,long,26f,0
2022-05-16,0.02374430450641444,797402.8361476627,7156.749845523449,5,2022,Q75,long,26f,0
2022-05-17,0.06763057555390252,851331.6489046434,7156.749845523449,5,2022,Q75,long,26f,0
2022-05-18,0.024296123385417617,872015.7076883416,7156.749845523449,5,2022,Q75,long,26f,0
2022-05-19,0.019297940357320076,888843.8148059575,7156.749845523449,5,2022,Q75,long,26f,0
2022-05-20,0.004722377836291127,893041.2711369216,8339.153410354229,5,2022,Q75,long,26f,0
2022-05-23,-0.057273222693566064,841893.9195405514,8339.153410354229,5,2022,Q75,long,26f,0
2022-05-24,0.043191726961802415,878256.7718441485,8339.153410354229,5,2022,Q75,long,26f,0
2022-05-25,0.05121809710025294,923239.4124634168,8339.153410354229,5,2022,Q75,long,26f,0
2022-05-26,0.012565227202763518,934840.1254435655,8339.153410354229,5,2022,Q75,long,26f,0
2022-05-27,-0.00985042060480672,925631.5570096961,7290.284851725126,5,2022,Q75,long,26f,0
2022-05-30,0.027574637846951727,951155.5119739486,7290.284851725126,5,2022,Q75,long,26f,0
2022-05-31,0.010269157681963462,960923.0779064777,7290.284851725126,5,2022,Q75,long,26f,0
2022-06-01,0.0066627660365205996,967325.4835536618,7290.284851725126,5,2022,Q75,long,26f,0
2022-06-02,-0.004858293841772867,962625.9321139231,7290.284851725126,5,2022,Q75,long,26f,0
2022-06-03,0.027912475371120564,989495.204735655,44198.645568645625,5,2022,Q75,long,26f,0
2022-06-06,0.015173680786928215,1004509.48911251,44198.645568645625,5,2022,Q75,long,26f,0
2022-06-07,0.008500815277053191,1013048.6387235025,44198.645568645625,5,2022,Q75,long,26f,0
2022-06-08,0.010405374427413135,1023589.7891226017,44198.645568645625,5,2022,Q75,long,26f,0
2022-06-09,0.005197142604175539,1028909.5312248499,44198.645568645625,5,2022,Q75,long,26f,0
2022-06-10,-0.058088521043441546,969141.6982684976,8389.363091110805,5,2022,Q75,long,26f,0
2022-06-13,-0.06402424613461398,907093.1316392375,8389.363091110805,5,2022,Q75,long,26f,0
2022-06-14,0.01990482724182166,925148.6637167595,8389.363091110805,5,2022,Q75,long,26f,0
2022-06-15,-0.027323670782674454,899870.2062043316,8389.363091110805,5,2022,Q75,long,26f,0
2022-06-16,0.04447743385712956,939894.1237807863,8389.363091110805,5,2022,Q75,long,26f,0
2022-06-17,-0.035142437311859516,906863.9534560349,6830.9972001925635,5,2022,Q75,long,26f,0
2022-06-20,-0.06828513419340362,844938.626699129,6830.9972001925635,5,2022,Q75,long,26f,0
2022-06-21,-0.005209590509036217,840536.8424487591,6830.9972001925635,5,2022,Q75,long,26f,0
2022-06-22,0.07076378758865992,900016.413028246,6830.9972001925635,5,2022,Q75,long,26f,0
2022-06-23,0.019233204218262974,917326.6124998068,6830.9972001925635,5,2022,Q75,long,26f,0
2022-06-24,-0.004995313514635207,912744.278475052,8508.248426423466,5,2022,Q75,long,26f,0
2022-06-27,0.05077216177069624,959086.2786370647,8508.248426423466,5,2022,Q75,long,26f,0
2022-06-28,0.016279975599962037,974700.1798515345,8508.248426423466,5,2022,Q75,long,26f,0
2022-06-29,-0.0028488537960845942,971923.4015441202,8508.248426423466,5,2022,Q75,long,26f,0
2022-06-30,-0.055218552651972,918255.1980222724,8508.248426423466,5,2022,Q75,long,26f,0
2022-07-01,0.03138030552265776,947070.32668398,34703.09634072362,5,2022,Q75,long,26f,0
2022-07-04,0.013945545850581427,960277.7393484765,34703.09634072362,5,2022,Q75,long,26f,0
2022-07-05,-0.021218815278724535,939901.78338097,34703.09634072362,5,2022,Q75,long,26f,0
2022-07-06,-0.023316359790792034,917986.6952316522,34703.09634072362,5,2022,Q75,long,26f,0
2022-07-07,0.003387253410843972,921096.148796185,34703.09634072362,5,2022,Q75,long,26f,0
2022-07-08,0.02167155437944585,941057.7340735197,22868.65375126487,5,2022,Q75,long,26f,0
2022-07-11,0.005720216075246708,946440.7876517023,22868.65375126487,5,2022,Q75,long,26f,0
2022-07-12,0.028736813978854418,973638.4805084497,22868.65375126487,5,2022,Q75,long,26f,0
2022-07-13,-0.0012062800563892502,972463.9998272792,22868.65375126487,5,2022,Q75,long,26f,0
2022-07-14,0.02161516260990304,993483.9673158226,22868.65375126487,5,2022,Q75,long,26f,0
2022-07-15,-0.010402128445575063,983149.6194791839,8254.737909771473,5,2022,Q75,long,26f,0
2022-07-18,0.02018995485424837,1002999.3659114401,8254.737909771473,5,2022,Q75,long,26f,0
2022-07-19,0.0197874661402396,1022846.1819030945,8254.737909771473,5,2022,Q75,long,26f,0
2022-07-20,0.026343291302394118,1049791.3168305093,8254.737909771473,5,2022,Q75,long,26f,0
