Date,Close,v7_Bull,v7_Neut,v7_Bear,v7_label
2017-06-21,885.45,1.0,0.0,0.0,Bull
2017-06-22,889.92,1.0,0.0,0.0,Bull
2017-06-23,894.76,1.0,0.0,0.0,Bull
2017-06-26,893.34,1.0,0.0,0.0,Bull
2017-06-27,888.49,1.0,0.0,0.0,Bull
2017-06-28,891.96,1.0,0.0,0.0,Bull
2017-06-29,897.29,1.0,0.0,0.0,Bull
2017-06-30,896.77,1.0,0.0,0.0,Bull
2017-07-03,898.76,1.0,0.0,0.0,Bull
2017-07-04,901.16,1.0,0.0,0.0,Bull
2017-07-05,907.56,1.0,0.0,0.0,Bull
2017-07-06,913.82,1.0,0.0,0.0,Bull
2017-07-07,907.94,1.0,0.0,0.0,Bull
2017-07-10,902.64,1.0,0.0,0.0,Bull
2017-07-11,907.51,1.0,0.0,0.0,Bull
2017-07-12,915.97,1.0,0.0,0.0,Bull
2017-07-13,919.3,1.0,0.0,0.0,Bull
2017-07-14,919.17,1.0,0.0,0.0,Bull
2017-07-17,912.64,1.0,0.0,0.0,Bull
2017-07-18,907.52,1.0,0.0,0.0,Bull
2017-07-19,910.5,1.0,0.0,0.0,Bull
2017-07-20,911.74,1.0,0.0,0.0,Bull
2017-07-21,909.01,1.0,0.0,0.0,Bull
2017-07-24,903.98,1.0,0.0,0.0,Bull
2017-07-25,908.82,1.0,0.0,0.0,Bull
2017-07-26,921.81,1.0,0.0,0.0,Bull
2017-07-27,921.11,1.0,0.0,0.0,Bull
2017-07-28,925.43,1.0,0.0,0.0,Bull
2017-07-31,927.33,1.0,0.0,0.0,Bull
2017-08-01,929.56,1.0,0.0,0.0,Bull
2017-08-02,930.44,1.0,0.0,0.0,Bull
2017-08-03,939.75,1.0,0.0,0.0,Bull
2017-08-04,949.39,1.0,0.0,0.0,Bull
2017-08-07,964.35,1.0,0.0,0.0,Bull
2017-08-08,969.51,1.0,0.0,0.0,Bull
2017-08-09,955.9,1.0,0.0,0.0,Bull
2017-08-10,947.09,1.0,0.0,0.0,Bull
2017-08-11,936.35,1.0,0.0,0.0,Bull
2017-08-14,940.62,1.0,0.0,0.0,Bull
2017-08-15,937.63,1.0,0.0,0.0,Bull
