Date,index_code,fgn_buy,fgn_sell,total_value
2016-07-20,VN30,158705753000.0,139830029000.0,1212048000000.0
2016-07-20,VNINDEX,233662927000.0,199839142000.0,2307138416000.0
2016-07-20,VNMID,32508768000.0,38167427000.0,421586000000.0
2016-07-20,VNSML,10574487000.0,3881745000.0,525259000000.0
2016-07-21,VN30,196073191000.0,287748233000.0,1142031000000.0
2016-07-21,VNINDEX,298758229000.0,371890469000.0,2325180285800.0
2016-07-21,VNMID,56332605000.0,58765783000.0,512939000000.0
2016-07-21,VNSML,16985736000.0,8465007000.0,531422000000.0
2016-07-22,VN30,187669459000.0,189868185000.0,1747109000000.0
2016-07-22,VNINDEX,276907472000.0,232888589000.0,3006165887400.0
2016-07-22,VNMID,67857865000.0,19958351000.0,515982000000.0
2016-07-22,VNSML,10265099000.0,6637187000.0,604795000000.0
2016-07-25,VN30,194227442000.0,119102627000.0,856461000000.0
2016-07-25,VNINDEX,289848795000.0,180812670000.0,1779106507600.0
2016-07-25,VNMID,84680678000.0,55404975000.0,404585000000.0
2016-07-25,VNSML,12525802000.0,7499874000.0,483614000000.0
2016-07-26,VN30,231783798000.0,103453997000.0,1019238000000.0
2016-07-26,VNINDEX,283191560000.0,125731914000.0,1949580485000.0
2016-07-26,VNMID,44639291000.0,14612300000.0,458896000000.0
2016-07-26,VNSML,12343551000.0,7913008000.0,421196000000.0
2016-07-27,VN30,253181125000.0,153956847000.0,1327169000000.0
2016-07-27,VNINDEX,341125283000.0,210899539000.0,2334407703000.0
2016-07-27,VNMID,65364296000.0,51698898000.0,469767000000.0
2016-07-27,VNSML,15874554000.0,6091970000.0,490495000000.0
2016-07-28,VN30,202954655000.0,212790334000.0,1507897000000.0
2016-07-28,VNINDEX,260906803000.0,253393839000.0,2403538843000.0
2016-07-28,VNMID,42805869000.0,42897072000.0,453389000000.0
2016-07-28,VNSML,10603801000.0,4649794000.0,374523000000.0
2016-07-29,VN30,246796973000.0,175209721000.0,1238696000000.0
2016-07-29,VNINDEX,310573648000.0,244053460000.0,2190289703000.0
2016-07-29,VNMID,54293403000.0,65961650000.0,544061000000.0
2016-07-29,VNSML,9262653000.0,4207725000.0,375939000000.0
2016-08-01,VN30,260675228000.0,270302734000.0,1169333000000.0
2016-08-01,VNINDEX,296914851000.0,307518107000.0,1950676870000.0
2016-08-01,VNMID,75432243000.0,79692604000.0,412055000000.0
2016-08-01,VNSML,13111310000.0,1205292000.0,344949000000.0
2016-08-02,VN30,319148454000.0,321273775000.0,1641150000000.0
2016-08-02,VNINDEX,423693681000.0,385812215000.0,3165708637800.0
2016-08-02,VNMID,61326651000.0,60994706000.0,695720000000.0
2016-08-02,VNSML,47079246000.0,13564957000.0,445345000000.0
2016-08-03,VN30,189681587000.0,61827418000.0,945725000000.0
2016-08-03,VNINDEX,256027862000.0,81818902000.0,1827178486500.0
2016-08-03,VNMID,49880966000.0,16408519000.0,434754000000.0
2016-08-03,VNSML,37434740000.0,6147976000.0,425704000000.0
2016-08-04,VN30,245099933000.0,213039997000.0,1072955000000.0
2016-08-04,VNINDEX,324831165000.0,281294162000.0,1971702255200.0
2016-08-04,VNMID,66873921000.0,69573279000.0,425074000000.0
2016-08-04,VNSML,28450811000.0,4194336000.0,442649000000.0
2016-08-05,VN30,223507996000.0,263166296000.0,1174769000000.0
2016-08-05,VNINDEX,273184111000.0,288332892000.0,2102921730700.0
2016-08-05,VNMID,41381333000.0,27776781000.0,494519000000.0
2016-08-05,VNSML,21998780000.0,3301407000.0,411672000000.0
2016-08-08,VN30,122066719000.0,256428541000.0,875714000000.0
2016-08-08,VNINDEX,171837515000.0,302459904000.0,1540100135300.0
2016-08-08,VNMID,42344731000.0,44710069000.0,351996000000.0
2016-08-08,VNSML,16678101000.0,5782823000.0,291166000000.0
2016-08-09,VN30,230010097000.0,228581418000.0,1176908000000.0
2016-08-09,VNINDEX,277693146000.0,392560886000.0,2053115775000.0
2016-08-09,VNMID,37115872000.0,220337198000.0,470979000000.0
2016-08-09,VNSML,13604141000.0,1377983000.0,364698000000.0
2016-08-10,VN30,158547913000.0,226295699000.0,1365187000000.0
2016-08-10,VNINDEX,234913381000.0,317772979000.0,2287937975000.0
2016-08-10,VNMID,44119325000.0,54036785000.0,532326000000.0
2016-08-10,VNSML,44899243000.0,39001147000.0,318157000000.0
2016-08-11,VN30,369773180000.0,301991935000.0,1640931000000.0
2016-08-11,VNINDEX,420432910000.0,380956600000.0,2592068773300.0
2016-08-11,VNMID,45866270000.0,72786842000.0,552962000000.0
2016-08-11,VNSML,8652526000.0,6491652000.0,360830000000.0
2016-08-12,VN30,314989970000.0,377734385000.0,1617732000000.0
2016-08-12,VNINDEX,365365081000.0,438340347000.0,2600696209200.0
2016-08-12,VNMID,40033720000.0,53250806000.0,568848000000.0
2016-08-12,VNSML,19487047000.0,6776658000.0,381312000000.0
2016-08-15,VN30,114907398000.0,269395245000.0,1300277000000.0
2016-08-15,VNINDEX,160152511000.0,367816994000.0,2209828302200.0
2016-08-15,VNMID,27446528000.0,90967152000.0,528698000000.0
2016-08-15,VNSML,21953535000.0,4823096000.0,348751000000.0
2016-08-16,VN30,125168129000.0,315885885000.0,2100409000000.0
2016-08-16,VNINDEX,181704788000.0,389377505000.0,3338929992500.0
2016-08-16,VNMID,45107089000.0,68452743000.0,689813000000.0
2016-08-16,VNSML,20394137000.0,7022813000.0,490437000000.0
2016-08-17,VN30,260230978000.0,384334990000.0,1568708000000.0
2016-08-17,VNINDEX,361726664000.0,516577924000.0,2760250525800.0
2016-08-17,VNMID,90968187000.0,116090125000.0,752425000000.0
2016-08-17,VNSML,15242932000.0,23019809000.0,388902000000.0
2016-08-18,VN30,372547549000.0,606602140000.0,1892137000000.0
2016-08-18,VNINDEX,492041425000.0,742532950000.0,3033766272000.0
2016-08-18,VNMID,275599904000.0,300581522000.0,720805000000.0
2016-08-18,VNSML,12602248000.0,6359272000.0,380154000000.0
2016-08-19,VN30,176064436000.0,454458552000.0,1922280000000.0
2016-08-19,VNINDEX,254495749000.0,526660870000.0,2894546363500.0
2016-08-19,VNMID,71568674000.0,57300186000.0,541251000000.0
2016-08-19,VNSML,10847577000.0,5481510000.0,345257000000.0
2016-08-22,VN30,132222609000.0,254258480000.0,1270150000000.0
2016-08-22,VNINDEX,256634238000.0,387200008000.0,2218141388200.0
2016-08-22,VNMID,119514242000.0,130122169000.0,491841000000.0
2016-08-22,VNSML,15543507000.0,6661630000.0,263200000000.0
2016-08-23,VN30,130085451000.0,270496237000.0,1152114000000.0
2016-08-23,VNINDEX,228434902000.0,406229119000.0,2129346586100.0
2016-08-23,VNMID,95059359000.0,126092425000.0,609851000000.0
2016-08-23,VNSML,6812158000.0,10227608000.0,333128000000.0
2016-08-24,VN30,84821439000.0,201520470000.0,1332936000000.0
2016-08-24,VNINDEX,156733291000.0,255543395000.0,2376777336000.0
2016-08-24,VNMID,22604197000.0,46688456000.0,498904000000.0
2016-08-24,VNSML,15008418000.0,8045197000.0,454963000000.0
2016-08-25,VN30,148962965000.0,217755415000.0,1371372000000.0
2016-08-25,VNINDEX,190101897000.0,257314208000.0,2392717456500.0
2016-08-25,VNMID,55086233000.0,58266147000.0,500582000000.0
2016-08-25,VNSML,15072407000.0,4658687000.0,386251000000.0
2016-08-26,VN30,68798786000.0,176226234000.0,1294041000000.0
2016-08-26,VNINDEX,96191568000.0,190740124000.0,2296881883800.0
2016-08-26,VNMID,16127694000.0,11589471000.0,547075000000.0
2016-08-26,VNSML,13499465000.0,3521652000.0,394808000000.0
2016-08-29,VN30,269050943000.0,222618066000.0,1697113000000.0
2016-08-29,VNINDEX,298396877000.0,246533742000.0,2812163744000.0
2016-08-29,VNMID,25883385000.0,20252392000.0,616823000000.0
2016-08-29,VNSML,7176724000.0,4077626000.0,442632000000.0
2016-08-30,VN30,330202400000.0,413296463000.0,1279349000000.0
2016-08-30,VNINDEX,398516190000.0,462940173000.0,2190247056200.0
2016-08-30,VNMID,64967359000.0,52306015000.0,555679000000.0
2016-08-30,VNSML,8982138000.0,3531682000.0,288616000000.0
2016-08-31,VN30,487159014000.0,513936772000.0,1826243000000.0
2016-08-31,VNINDEX,521905789000.0,552620939000.0,2924510335100.0
2016-08-31,VNMID,30644248000.0,32300509000.0,497402000000.0
2016-08-31,VNSML,9362803000.0,7323900000.0,552142000000.0
2016-09-01,VN30,512637286000.0,708384774000.0,1623896000000.0
2016-09-01,VNINDEX,577182278000.0,764681387000.0,2735223612800.0
2016-09-01,VNMID,51720251000.0,43926016000.0,603044000000.0
2016-09-01,VNSML,16978187000.0,13070274000.0,326469000000.0
2016-09-05,VN30,424375187000.0,703091620000.0,1751219000000.0
2016-09-05,VNINDEX,451119711000.0,738071582000.0,2729970882100.0
2016-09-05,VNMID,24872209000.0,32657712000.0,522486000000.0
2016-09-05,VNSML,3646821000.0,11565334000.0,406020000000.0
2016-09-06,VN30,711331718000.0,903874877000.0,1799149000000.0
2016-09-06,VNINDEX,804549529000.0,948783783000.0,2900055370500.0
2016-09-06,VNMID,87470478000.0,41799237000.0,594276000000.0
2016-09-06,VNSML,5756044000.0,9303660000.0,447790000000.0
2016-09-07,VN30,291150694000.0,616811319000.0,1672531000000.0
2016-09-07,VNINDEX,456122609000.0,714756036000.0,2839907696200.0
2016-09-07,VNMID,155889555000.0,102792410000.0,717830000000.0
2016-09-07,VNSML,11597222000.0,5174742000.0,390335000000.0
2016-09-08,VN30,538820560000.0,610565287000.0,1949344000000.0
2016-09-08,VNINDEX,714670933000.0,797362197000.0,3122321923400.0
2016-09-08,VNMID,175676618000.0,181628687000.0,730068000000.0
2016-09-08,VNSML,9206087000.0,28676650000.0,351937000000.0
2016-09-09,VN30,467105737000.0,649780427000.0,1676944000000.0
2016-09-09,VNINDEX,544878912000.0,751715087000.0,2708683958000.0
2016-09-09,VNMID,66639914000.0,103353086000.0,652365000000.0
2016-09-09,VNSML,13554120000.0,7358115000.0,332794000000.0
2016-09-12,VN30,245232312000.0,405106094000.0,1606263000000.0
2016-09-12,VNINDEX,283969406000.0,455026509000.0,2493073368600.0
2016-09-12,VNMID,31053900000.0,47628073000.0,525696000000.0
2016-09-12,VNSML,7658210000.0,11807025000.0,297495000000.0
2016-09-13,VN30,446476272000.0,552292817000.0,1420043000000.0
2016-09-13,VNINDEX,479629754000.0,596698570000.0,2165655294900.0
2016-09-13,VNMID,169374366000.0,189235895000.0,411517000000.0
2016-09-13,VNSML,11621809000.0,3501438000.0,271150000000.0
2016-09-14,VN30,148336309000.0,202661895000.0,930670000000.0
2016-09-14,VNINDEX,180209520000.0,223274914000.0,1633614135800.0
2016-09-14,VNMID,19933442000.0,21303795000.0,405463000000.0
2016-09-14,VNSML,16464694000.0,1252785000.0,256438000000.0
2016-09-15,VN30,167284748000.0,330044099000.0,1042879000000.0
