Date,Open,High,Low,Close,Volume,Value,DMI_plusDI,DMI_minusDI,DMI_ADX,ULT_RSI,ULT_RSI_signal,AMACD,AMACD_signal,AMACD_hist,BBWP,BBWP_MA,BBWP_BBW,net_run,td_setup,pct_up_20d,consec_hh,consec_hl,consec_lh,consec_ll,ma20_streak,bull_bar_streak,pct_ursi_oversold,pct_bb20_below,pct_below_ema200,pct_ursi_overbought,pct_ursi_above_50,pct_ursi_below_50,up_down_vol_ratio_20d,volume_ratio_20_60,net_fgn_pct_5d,net_fgn_pct_20d,fgn_share_20d
2018-09-11,968.41,985.06,967.92,985.06,192348822.0,4359855785670.0,25.87333941863291,26.425427489222198,13.85740742642399,69.23403354903198,73.11324925885157,-2.7724112970576202,-0.3016780766100015,-2.470733220447619,37.0,42.2,0.020354359135189588,3,1,0.65,2,0,0,1,1,3,0.013513513513513514,0.03355704697986577,0.5066666666666667,0.033783783783783786,0.5337837837837838,0.46621621621621623,0.00024314806985501085,1.0230328337285208,0.0251000473347564,0.0049832279644695,0.2872953307007899
2018-09-12,990.0,994.83,985.06,987.01,181733720.0,3906917223300.0,30.04757956185076,24.93735181763406,13.531440428710143,69.47593702856156,72.6282742948129,-1.3197108168986214,-0.5052846246677255,-0.8144261922308959,34.0,41.8,0.01923024371576921,4,2,0.65,3,1,0,0,2,-1,0.00641025641025641,0.025477707006369428,0.5253164556962026,0.03205128205128205,0.5512820512820513,0.44871794871794873,0.0026038864186261825,1.0313177208049888,0.0466647739579416,0.00705665994012,0.2896853377417935
2018-09-13,987.48,992.96,985.06,987.95,171494235.0,3694034204200.0,28.643023541260643,23.77167031703487,13.228756787975854,69.60002301387483,72.22450745735449,0.08512295456898444,-0.38720310882038356,0.472326063389368,42.0,40.8,0.021892919701987555,5,3,0.7,0,0,1,0,3,1,0.006622516556291391,0.019736842105263157,0.49673202614379086,0.039735099337748346,0.6291390728476821,0.3708609271523179,0.0083349700183982,1.0246313130545073,0.0474327860153034,0.0069024779159591,0.2980030548379561
2018-09-14,987.95,995.55,987.95,991.34,174343506.0,4075572457000.0,28.89411695004722,22.673621499162913,13.14547170818105,70.07252859777346,71.93757694274369,1.525051507370781,-0.004752185582150625,1.5298036929529317,45.0,40.6,0.02369800871819435,6,4,0.7,1,1,0,0,4,2,0.006535947712418301,0.026143790849673203,0.5064935064935064,0.026143790849673203,0.6535947712418301,0.3464052287581699,0.008712872880412767,1.0192026169926207,0.0448585664658475,0.0126188747571145,0.2979855335996512
2018-09-17,991.03,993.83,987.02,987.61,164043388.0,3844955009300.0,27.661152854904014,22.288839864409763,12.974751081171684,68.80531594445455,71.51994214297181,2.234639644496407,0.4431261804335609,1.791513464062846,25.0,36.6,0.017092061747464294,-1,5,0.65,0,0,1,1,5,-1,0.0,0.0196078431372549,0.4935064935064935,0.0196078431372549,0.6601307189542484,0.33986928104575165,0.03167123195527791,1.0198215447011998,0.0405496653015194,0.0125690650954354,0.3006658748746657
2018-09-18,983.43,993.49,981.89,993.49,196294194.0,4583490052810.0,25.653094518076813,23.88123040519902,12.303486219761174,69.73450206150854,71.28188346544339,3.105379113300012,0.9755767670068513,2.129802346293161,17.0,32.6,0.014094492545199983,1,6,0.65,0,0,2,2,6,1,0.0,0.012903225806451613,0.47435897435897434,0.025806451612903226,0.7161290322580646,0.2838709677419355,0.03844238972689132,1.019033990621191,0.011395552293983,0.0123861694976694,0.3057394051670388
2018-09-19,998.65,1001.83,993.49,995.54,243632710.0,5039508148700.0,29.609603924910598,22.61034613459668,12.382052721387158,70.06923706291764,71.12019727843995,3.69045942368961,1.5185532983434031,2.171906125346207,0.0,25.8,0.007138598576176429,2,7,0.65,1,1,0,0,7,-1,0.0,0.013333333333333334,0.45695364238410596,0.013333333333333334,0.7266666666666667,0.2733333333333333,0.0565528243242922,1.023528946793513,0.0055587359240639,0.0112031796994901,0.3065198991233864
2018-09-20,995.54,1004.74,995.54,1004.74,203998854.0,4961625872800.0,29.72976464371204,21.265911278243678,12.68313453558335,76.44101216561154,71.82963926339616,4.607160486312318,2.136274735937186,2.470885750375132,9.0,19.2,0.011703597127976811,3,8,0.65,2,2,0,0,8,1,0.0,0.0,0.423841059602649,0.013333333333333334,0.7466666666666667,0.25333333333333335,0.056733512773621216,1.021225273800886,0.0077950960553827,0.010588841782514,0.3150089475635614
2018-09-21,1006.25,1009.1,1000.39,1002.97,300727501.0,9006083260900.0,30.891675789992554,20.050369357243195,13.297314026763368,75.78041320679175,72.35640912251557,4.772992486938497,2.6636182861374484,2.1093742008010485,12.0,12.6,0.012678916258775345,-1,9,0.6,3,3,0,0,9,-1,0.0,0.0196078431372549,0.4155844155844156,0.006535947712418301,0.7516339869281046,0.24836601307189543,-0.011051048537626408,1.0503886541018685,-0.0269990313592055,0.0023972535282248,0.3592465000835274
2018-09-24,1008.06,1011.29,1002.97,1011.29,185767286.0,4288708402850.0,30.637908072726688,18.93688446794461,14.03341793025153,81.06663329233268,73.51777234515785,5.219776738868557,3.17484997668367,2.044926762184887,23.0,12.2,0.015618695688926713,1,9,0.65,4,4,0,0,10,1,0.0,0.0,0.39864864864864863,0.006802721088435374,0.8027210884353742,0.19727891156462585,-0.02103455262582661,1.04774879599715,-0.0268892641453957,0.0035422254651902,0.353897473638739
2018-09-25,1011.84,1014.53,1008.67,1010.74,230156870.0,4786828868100.0,31.634362540910615,18.171445785309782,14.961803556803666,80.86974611058476,74.49803551388145,5.139259961064463,3.5677319735598285,1.5715279875046342,29.0,14.6,0.01661647894308858,-1,9,0.6,5,5,0,0,11,-1,0.0,0.0,0.3741496598639456,0.0,0.821917808219178,0.1780821917808219,-0.04447905354940919,1.053342596581837,-0.0204258940094454,0.0034026169306286,0.3448963388382534
