Date,Close,v7_Bull,v7_Neut,v7_Bear,v7_label
2020-10-15,1007.7,0.65,0.35,0.0,Bull
2020-10-16,1007.25,0.55,0.45,0.0,Bull
2020-10-19,1008.94,0.45,0.55,0.0,Neutral
2020-10-20,1016.64,0.35,0.65,0.0,Neutral
2020-10-21,1004.04,0.25,0.75,0.0,Neutral
2020-10-22,1007.93,0.15,0.85,0.0,Neutral
2020-10-23,1009.77,0.1,0.9,0.0,Neutral
2020-10-26,995.27,0.05,0.95,0.0,Neutral
2020-10-27,985.69,0.0,1.0,0.0,Neutral
2020-10-28,963.2,0.0,0.95,0.05,Neutral
2020-10-29,968.17,0.05,0.9,0.05,Neutral
2020-10-30,971.39,0.15,0.85,0.0,Neutral
2020-11-02,984.03,0.3,0.7,0.0,Neutral
2020-11-03,992.89,0.45,0.55,0.0,Neutral
2020-11-04,1007.66,0.6,0.4,0.0,Bull
2020-11-05,1000.04,0.75,0.25,0.0,Bull
2020-11-06,1004.54,0.85,0.15,0.0,Bull
2020-11-09,1023.88,0.95,0.05,0.0,Bull
2020-11-10,1023.44,1.0,0.0,0.0,Bull
2020-11-11,1026.69,1.0,0.0,0.0,Bull
2020-11-12,1036.88,1.0,0.0,0.0,Bull
2020-11-13,1043.86,1.0,0.0,0.0,Bull
2020-11-16,1035.28,1.0,0.0,0.0,Bull
2020-11-17,1052.03,1.0,0.0,0.0,Bull
2020-11-18,1060.15,1.0,0.0,0.0,Bull
2020-11-19,1059.21,1.0,0.0,0.0,Bull
2020-11-20,1071.56,1.0,0.0,0.0,Bull
2020-11-23,1074.75,1.0,0.0,0.0,Bull
2020-11-24,1079.02,1.0,0.0,0.0,Bull
2020-11-25,1074.21,1.0,0.0,0.0,Bull
2020-11-26,1076.79,1.0,0.0,0.0,Bull
2020-11-27,1086.98,1.0,0.0,0.0,Bull
2020-11-30,1088.1,1.0,0.0,0.0,Bull
2020-12-01,1093.72,1.0,0.0,0.0,Bull
2020-12-02,1098.51,1.0,0.0,0.0,Bull
2020-12-30,1252.37,1.0,0.0,0.0,Bull
2020-12-31,1265.67,1.0,0.0,0.0,Bull
2021-01-04,1294.87,1.0,0.0,0.0,Bull
2021-01-05,1308.05,1.0,0.0,0.0,Bull
2021-01-06,1307.23,1.0,0.0,0.0,Bull
2021-01-07,1330.23,1.0,0.0,0.0,Bull
2021-01-08,1337.14,1.0,0.0,0.0,Bull
